Variable,Type,Non_Null_Count,Null_Count,Min,Mean,Max,Std
CPI,float64,120,0,135.7,149.55333333333334,162.1,9.26007907232818
Inflation_YoY,float64,96,24,1.0233918128654818,4.118024198749047,8.13295615275813,1.882068291174822
Unemployment_Rate,float64,112,8,4.8,6.7375,14.2,1.9435791725576808
Employment_Rate,float64,112,8,52.9,61.02321428571429,62.5,1.7192069270952983
GDP_Ontario,float64,119,1,769942.0,835688.6478991595,876619.7,38785.23434781886
GDP_Growth_YoY,float64,95,25,1.2427072472257494,3.337186603820499,6.1463720643892605,1.9538186951026526
Policy_Rate,float64,119,1,0.25,2.3956459658962403,5.0,2.055249310390766
Prime_Rate,float64,119,1,2.45,4.594117647058824,7.2,2.054714261863747
Mortgage_5Y_Rate,float64,119,1,4.79,5.751008403361346,7.040000000000001,0.8952845111253676
Prime_Policy_Spread,float64,119,1,2.122727272727273,2.1984716811625837,2.3704545454545456,0.030553628761079164
Mortgage_Prime_Spread,float64,119,1,-0.585,1.1568907563025213,2.59,1.1820551787424292
USD_CAD,float64,119,1,1.212645,1.3223589818964823,1.424045,0.04935474271480808
FX_Change_MoM,float64,117,3,-3.0020817782902887,0.1394961704737695,5.01780684622728,1.4990432828045241
FX_Change_YoY,float64,95,25,-13.19462837426717,0.6174895432495949,10.152490381406864,5.151186495475866
HPI,float64,120,0,541400.0,697628.3333333334,837400.0,75594.14652468482
HPI_Change_MoM,float64,120,0,-2.517447657028915,0.46180244603998644,4.504504504504503,1.5106954926665146
HPI_Change_YoY,float64,120,0,-15.739192739431573,6.689597669696875,29.970510631693315,12.386166830272492
WTI_Price,float64,120,0,16.55,71.2375,114.84,20.2010418755356
WCS_Price,float64,120,0,3.5,55.53,101.17,19.13226181131773
WCS_WTI_Spread,float64,120,0,-29.299999999999997,-15.707500000000001,-4.340000000000003,5.286200085556525
WTI_Change_YoY,float64,120,0,-74.0839336047604,16.840825455519184,272.93051359516613,55.758313542590464
Economic_Cycle_Score,float64,95,25,-0.5778006615323547,0.16643872638312227,0.9343491649985615,0.45466982372366666
Credit_Conditions,float64,119,1,3.3360000000000003,4.577744756400584,6.136000000000002,1.1762868701081897
Housing_Risk_Score,float64,112,8,-12.448255315846659,-0.3898366255668638,10.836596369715785,6.530998251588971
